text
boçeta
bossta
caraio
caraleo
caralhu
foda-se
foda c
foda vc
fdp
fdpt
kct
krl
ku
merd
merrrda
poha
porra
pqp
vsf
vtnc
bosta
caca
cocô
diarreia
escremento
fezes
merda
mijo
xixi
arregaçada
arregaçado
bimbada
bimbado
bomba
bombada
bombado
chupada
chupado
comida
comido
enrabada
enrabado
foda
fodida
fodido
gozada
gozado
masturbação
meter
metida
metido
penetração
penetrada
penetrado
punheta
quicada
quicado
rapidinha
sexo
trepa
trepada
trepado
xereca
animal
anta
atrasa-lado
babão
babaovo
babaquara
bacorinha
bagaceira
bagaço
bagulho
baianada
baitolagem
bandalho
barraco
bárril
bicheiro
biscate
bocó
bodega
borra
bugre
bugrinha
bunda-mole
bundão
burrice
cabaço
cabra-safado
cachaçeiro
cachaceiro
cachorra
cadela
cafajeste
cafanhoto
cafona
cagada
cagadeira
cagado
cagão
cagona
cagueta
caguete
cambada
canalha
canhão
capado
caralho
carniça
casca-grossa
cascateiro
catinguda
catingudo
cavalo
chacota
chata
chato
chechela
chifre
chifres
chula
chulé
chupado
chupão
come-quieto
corno
corno-manso
cornuda
cornudo
covarde
crapula
crápula
cretina
cretino
cuzao
cuzuda
cuzudo
débil
debiloide
degenerada
degenerado
demônio
descarada
descarado
desgraçado
despacho
desqualificada
desqualificado
drogado
eguinha pocotó
encostado
endemoniado
energúmeno
enrabada
escrota
escroto
esculacho
esculhambação
esporrada
estupida
estúpido
fajuto
faniquito
fedorenta
fedorento
feia
feio
feiosa
feioso
feioza
feozo
fifi
fingida
fingido
fraco
franguinho
frango
fresco
frutinha
fuinha
fuleira
fuleiro
galinha
gigolô
gosma
gosmenta
gosmento
grudento
idiota
ignorante
imbecil
infeliz
iscrota
iscroto
jegue
jumento
lá-ele
lazarento
lazarenta
lesada
lesado
lezado
louco
lunático
macaca
macaco
maconheiro
malandra
malandro
malandragem
mala-sem-alça
maloqueiro
maluca
maluco
mamada
mané
maracujá de gaveta
marginal
maria-gasolina
maria-vai-com-as-outras
maricas
maricona
mariquinha
